sample 2242 is classified as 0, positive_classifiers=45, negative_classifiers=150
sample 3255 is classified as 0, positive_classifiers=0, negative_classifiers=966
sample 309 is classified as 1, positive_classifiers=287, negative_classifiers=141
sample 2458 is classified as 0, positive_classifiers=0, negative_classifiers=611
sample 767 is classified as 1, positive_classifiers=399, negative_classifiers=14
sample 662 is classified as 0, positive_classifiers=0, negative_classifiers=652
sample 812 is classified as 0, positive_classifiers=0, negative_classifiers=292
sample 1586 is classified as 0, positive_classifiers=0, negative_classifiers=717
sample 2443 is classified as 0, positive_classifiers=19, negative_classifiers=398
sample 1398 is classified as 0, positive_classifiers=0, negative_classifiers=624
sample 1203 is classified as 1, positive_classifiers=295, negative_classifiers=0
sample 1023 is classified as 1, positive_classifiers=385, negative_classifiers=0
sample 49 is classified as 0, positive_classifiers=43, negative_classifiers=325
sample 2747 is classified as 0, positive_classifiers=57, negative_classifiers=178
sample 2905 is classified as 0, positive_classifiers=0, negative_classifiers=651
sample 1431 is classified as 0, positive_classifiers=64, negative_classifiers=328
sample 228 is classified as 0, positive_classifiers=89, negative_classifiers=600
sample 2709 is classified as 0, positive_classifiers=29, negative_classifiers=706
sample 3165 is classified as 1, positive_classifiers=301, negative_classifiers=0
sample 1534 is classified as 0, positive_classifiers=12, negative_classifiers=742
sample 1803 is classified as 0, positive_classifiers=33, negative_classifiers=412
sample 1297 is classified as 0, positive_classifiers=3, negative_classifiers=580
sample 1500 is classified as 0, positive_classifiers=0, negative_classifiers=844
sample 238 is classified as 0, positive_classifiers=0, negative_classifiers=601
sample 1322 is classified as 0, positive_classifiers=50, negative_classifiers=711
sample 791 is classified as 1, positive_classifiers=227, negative_classifiers=0
sample 3242 is classified as 0, positive_classifiers=0, negative_classifiers=223
sample 2584 is classified as 1, positive_classifiers=429, negative_classifiers=0
sample 1773 is classified as 0, positive_classifiers=0, negative_classifiers=817
sample 2453 is classified as 0, positive_classifiers=0, negative_classifiers=886
sample 1626 is classified as 0, positive_classifiers=0, negative_classifiers=788
sample 1957 is classified as 0, positive_classifiers=65, negative_classifiers=556
sample 1303 is classified as 0, positive_classifiers=11, negative_classifiers=469
sample 708 is classified as 1, positive_classifiers=347, negative_classifiers=0
sample 2260 is classified as 0, positive_classifiers=1, negative_classifiers=328
sample 1239 is classified as 0, positive_classifiers=40, negative_classifiers=200
sample 2222 is classified as 0, positive_classifiers=3, negative_classifiers=452
sample 374 is classified as 1, positive_classifiers=405, negative_classifiers=0
sample 1041 is classified as 0, positive_classifiers=0, negative_classifiers=313
sample 1001 is classified as 0, positive_classifiers=0, negative_classifiers=793
sample 2020 is classified as 0, positive_classifiers=171, negative_classifiers=383
sample 380 is classified as 1, positive_classifiers=309, negative_classifiers=0
sample 1522 is classified as 0, positive_classifiers=0, negative_classifiers=134
sample 581 is classified as 1, positive_classifiers=349, negative_classifiers=0
sample 1610 is classified as 0, positive_classifiers=0, negative_classifiers=817
sample 2748 is classified as 0, positive_classifiers=2, negative_classifiers=675
sample 1252 is classified as 0, positive_classifiers=60, negative_classifiers=323
sample 2052 is classified as 0, positive_classifiers=0, negative_classifiers=632
sample 2898 is classified as 1, positive_classifiers=303, negative_classifiers=0
sample 2838 is classified as 0, positive_classifiers=6, negative_classifiers=785
sample 35 is classified as 1, positive_classifiers=356, negative_classifiers=131
sample 1948 is classified as 0, positive_classifiers=2, negative_classifiers=540
sample 679 is classified as 0, positive_classifiers=39, negative_classifiers=359
sample 506 is classified as 0, positive_classifiers=0, negative_classifiers=514
sample 2642 is classified as 0, positive_classifiers=32, negative_classifiers=827
sample 960 is classified as 1, positive_classifiers=242, negative_classifiers=26
sample 1370 is classified as 1, positive_classifiers=294, negative_classifiers=0
sample 1024 is classified as 1, positive_classifiers=270, negative_classifiers=0
sample 2696 is classified as 0, positive_classifiers=4, negative_classifiers=612
sample 189 is classified as 0, positive_classifiers=22, negative_classifiers=469
sample 2053 is classified as 0, positive_classifiers=24, negative_classifiers=460
sample 14 is classified as 0, positive_classifiers=17, negative_classifiers=417
sample 1086 is classified as 0, positive_classifiers=0, negative_classifiers=751
sample 2477 is classified as 1, positive_classifiers=381, negative_classifiers=68
sample 990 is classified as 0, positive_classifiers=0, negative_classifiers=987
sample 2066 is classified as 0, positive_classifiers=0, negative_classifiers=1022
